@relation 'Cereals (1)-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R12-13'

@attribute name {100NaturalBran,All-Bran,All-BranwithExtraFiber,AlmondDelight,AppleCinnamonCheerios,AppleJacks,Basic4,BranChex,BranFlakes,CapnCrunch,Cheerios,CinnamonToastCrunch,Clusters,CocoaPuffs,CornChex,CornFlakes,CornPops,CountChocula,CracklinOatBran,CreamofWheatQuick,Crispix,CrispyWheatRaisins,DoubleChex,FrootLoops,FrostedFlakes,FrostedMiniWheats,FruiFibreDatesWalnutsandOats,FruitfulBran,FruityPebbles,GoldenCrisp,GoldenGrahams,GrapeNutsFlakes,Grape-Nuts,GreatGrainsPecan,HoneyGrahamOhs,HoneyNutCheerios,Honey-comb,JustRightCrunchyNuggets,JustRightFruitNut,Kix,Life,LuckyCharms,Maypo,MuesliRaisinsDatesAlmonds,MuesliRaisinsPeachesPecans,MueslixCrispyBlend,Multi-GrainCheerios,NutHoneyCrunch,Nutri-GrainAlmond-Raisin,Nutri-grainWheat,OatmealRaisinCrisp,PostNatRaisinBran,Product19,PuffedRice,PuffedWheat,QuakerOatSquares,QuakerOatmeal,RaisinBran,RaisinNutBran,RaisinSquares,RiceChex,RiceKrispies,ShreddedWheat,ShreddedWheatnBran,ShreddedWheatspoonsize,Smacks,SpecialK,StrawberryFruitWheats,TotalCornFlakes,TotalRaisinBran,TotalWholeGrain,Triples,Trix,WheatChex,Wheaties,WheatiesHoneyGold}
@attribute mfr {Q,K,R,G,P,N,A}
@attribute type {C,H}
@attribute calories numeric
@attribute protein numeric
@attribute fat numeric
@attribute sodium numeric
@attribute fiber numeric
@attribute carbo numeric
@attribute sugars numeric
@attribute potass numeric
@attribute vitamins {0,25,100}
@attribute shelf {1,2,3}
@attribute weight numeric
@attribute cups numeric
@attribute rating numeric

@data
100NaturalBran,Q,C,120,3,5,15,2,8,8,135,0,3,1,1,33.983679
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
All-BranwithExtraFiber,K,C,50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
AlmondDelight,R,C,110,2,2,200,1,14,8,96.216216,25,3,1,0.75,34.384843
AppleCinnamonCheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
AppleJacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Basic4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
BranChex,R,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
BranFlakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
CapnCrunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
CinnamonToastCrunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
CocoaPuffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.736446
CornChex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.445019
CornFlakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.863324
CornPops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791
CountChocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.396513
CracklinOatBran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
CreamofWheatQuick,N,H,100,3,0,80,1,21,0,96.216216,0,2,1,1,64.533816
Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.895644
CrispyWheatRaisins,G,C,100,2,1,140,2,11,10,120,25,3,1,0.75,36.176196
