name,title,year
Kevin Bacon,A Few Good Men,1992
Kevin Bacon,Apollo 13,1995
Tom Cruise,A Few Good Men,1995
Tom Cruise,Rain Man,1988
Cary Elwes,The Princess Bride,1987
Tom Hanks,Forrest Gump,1994
Tom Hanks,Apollo 13,1995
Dustin Hoffman,Rain Man,1988
Demi Moore,A Few Good Men,1992
Jack Nicholson,A Few Good Men,1992
Bill Paxton,Apollo 13,1995
Sally Field,Forrest Gump,1994
Valeria Golino,Rain Man,1988
Gary Sinise,Apollo 13,1995
Gary Sinise,Forrest Gump,1994
Robin Wright,Forrest Gump,1994
Robin Wright,The Princess Bride,1987
Mandy Patinkin,The Princess Bride,1987
Chris Sarandon,The Princess Bride,1987
Gerald R. Molen,Rain Man,1988
